text,label
cho mình xin bài nhạc tên là gì với ạ,NEU
cho đáng đời con quỷ về nhà lôi con nhà mày ra mà đánh :enraged_face:,NEG
lo học đi yêu đương lol gì hay lại thích học sinh học,NEG
uớc gì sau này về già vẫn có thể như cụ này :,POS
mỗi lần có video của con là cứ coi đi coi lại hoài cưng con quá,POS
thằng kia sao mày bắt vợ với bồ tao dọn thế kia nhà mày ở đâu tao đến thịt mày chết,NEG
một lí do trog muôn vàn lí do,NEU
thật hay đùa ác vậy không thể tin được,NEG
ko phải con mình mà xem còn thấy đau như vậy huống gì người trong cuộc thật là phẫn nộ mà cơ quan chức năng làm việc quá chậm trễ đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm :angry_face::angry_face::angry_face::angry_face::angry_face::angry_face:,NEG
per nghe đi rồi khóc 1 trận cho thoải mái đừng cố gồng mình lên nữa,NEG
công nhận sáng tạo thật đấy,POS
đòn tấn công cực gắt và cục sút của anh :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,POS
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,NEU
minh biết nữa ne,NEU
mấy thằng củ lol việt nam nhảm nhí :,NEG
tui thi ch va i lă mày ma ăn nhỉ u no người lă mày mọi người anh bi lơ miê người,NEU
bếp dầu nhiều nhà vẫn dùng,NEU
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,NEU
thời buổi bây chừ chuyện gì cũng có thể xảy ra vậy nên thôi trất đừng nên tin ai,NEG
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe :beaming_face_with_smiling_eyes:,POS
con chó đăng video mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à,NEG
coi video chưa hiểu gì đã làm ầm lên,NEG
chả mong gì nhiều chỉ mong về già được như hai ông bà ! :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:,POS
yêu chết đi được,POS
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt :loudly_crying_face::loudly_crying_face::loudly_crying_face: người cha thật vĩ đại,POS
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết : khá mệt,NEG
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,NEG
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá :loudly_crying_face::loudly_crying_face::loudly_crying_face:,NEG
t gặp quả này thì bỏ xe mà chạy ?,NEG
thế con trai là của ai cho,NEU
per đây mí chính là cụ tổ của những chiếc sừng này,NEG
muốn share về mà sợ bị bạn nè phẫn nộ quá,NEG
hồi học lớp 5 bảo bố đi mua sgk cho xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập :face_with_tears_of_joy:,POS
nay buồn :,NEG
cv không áp lực môi trường xung quanh mới dễ tạo áp lực,NEU
ai có link nhạc mấy bài trên không ạ hay vãi ra,POS
đây người ta gọi là khi đại thánh nhập hoặc là múa lân đầu năm,NEU
phải bồi thường thiệt hại bị trầy xước thân tàu tiền sơn lại mấy toa tàu chắc cũng bộn,NEG
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,NEG
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện :smiling_face_with_smiling_eyes:,NEU
đéo được tích sự gì :face_with_tears_of_joy:,NEG
haizzz thế là chưa có kq gì tốt đẹp cả,NEG
bản thân cố gắng cũng chẳng dễ dàng gì :,NEG
nói chung là 1 lũ lừa gạt thôi việt nam mình là vậy đó,NEG
thế em ăn cơm chưa ?,NEU
thu trăm tỷ phạt 5tr lại qua tỉnh khác hành nghề ha ha,NEG
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,NEG
mày coi chừng có ngày tao dã dô mặt mày như dzầy,NEG
canh thời gian đăng đúng vãi !,POS
quan trọng mấy thằng đó có chọn mj không ngồi đó mà ảo tưởng,NEG
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,NEG
mình thi xong còn không khóc được :crying_face:,NEG
mỗi ngày mình ôm nhau 1 cái như này hén hí hí,POS
per trừ điểm trừ điểm,NEG
5 triệu phạt một con mụ lừa đảo phá hủy niềm tin phật giáo làm ô uế đời sống tâm linh thật rẻ rúng làm sao !,NEG
cả tuần không được nói chuyện,NEG
per mày cẩn thận tao giết,NEG
cạn lời với bọn súc vật này làm xấu mặt người bắc giang :expressionless_face::expressionless_face::expressionless_face:,NEG
bài này tao có 2 cảm xúc đầu tiên về quán trà đến cảm xúc quen lại c thy xong bị mẹ cấm :,NEU
