text,label
khổ nhất người có bầu,NEG
thầy cô hay quá đắt đỏ trong việc tài trợ cho những sinh viên có điểm cao,NEG
chưa giặt nên không biết có bị giãn nhiều không?,NEU
chất dai tới nỗi sợ béo thêm 1 2 kí nữa là ních k vừa :face_with_tears_of_joy: ủng hộ shop bán hàng 5 :kiss_mark:,NEU
tao cũng ho trật mẹ khớp vai mà đéo phải 1 lần đầu nhé,NEG
nghe đâu apple định nghĩa lại màu xanh cơ đấy haha nói vậy thôi chứ màu sắc thì đâu của riêng ai màu sắc mang tính thời trang và tùy xu hướng các nhà mốt cũng theo xu hướng quanh đi quẩn lại cũng xanh đỏ tím vàng không lẽ ai ra sau cũng gọi là bắt chước? đừng quá khắt khe cái màu các bác ạ,NEU
áo size quá to,NEG
tiền nào của nấy chất k đẹp như tiệm bán mặc rất nóng,NEG
em bán hàng lên có tâm 1 chút quần không mặc vừa chị gọi đt thi em bảo gửi bưu điện cho em em sẽ lấy lại hàng,NEG
áo chất đẹp mềm mại co giãn và ôm dáng :smiling_face_with_hearteyes::smiling_face_with_hearteyes::smiling_face_with_hearteyes:,POS
anh chàng này có khả năng giải quyết vấn đề một cách nhanh chóng và hiệu quả,POS
sản phẩm đẹp như hình vải hơi mỏng nên chắc sẽ thoáng mát,POS
sản phẩm gần giống với hình ảnh đóng gói sản phẩm tạm được,POS
em thích mặc áo thun là tại vì đóng thùng với quần jean dài á nhìn cá tính,POS
bộ ngủ không giống trong hình,NEG
i appreciate the wide range of courses offered,POS
sp tam duoc thời gian giao hàng rất nhanh,POS
màu xanh bên ngoài ko tươi như hình,NEG
chạy ngay đi :face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear: sợ quá,NEG
chất lương sp kém bỏ tiền ra mua máy mới mà nhận đk máy cũ đã phát sinh cả cuộc gọi lại còn k có cả sạc pin,NEG
ủa sao biết ?,NEU
Giống oppo f1,NEU
làm giả hàng thật nhưng vẫn ổn,NEG
đã từng nên tao hiểu cảm giác ấy vừa tiếc ly trà sữa vừa phải lết xác đi giặt cái balo,NEG
cô ấy luôn tranh luận và hay bị hoàn toàn chìm trong bản thân của mình,NEG
áo mau xanh mà đường may lộ chỉ màu hồng 1 tay,NEG
"Android là một hđh mở, nó gần như miễn phí cho các nhà sản xuất phần cứng. Không hiểu gì về android thì đừng tỏ ra nguy hiểm. Chính sự phát triển của android mà thế giới gần như bằng 1 cái màn hình smartphone.",POS
trường có nhiều cơ sở vật chất hiện đại hỗ trợ cho việc học tập và nghiên cứu của sinh viên,POS
minh mua ve cung de ko,NEU
em thấy mình tiến bộ nhiều hơn sau khi học môn học được giảng dạy bởi thầy,POS
áo có mùi kinh quá,NEG
45kg mặc quá rộng,NEG
giao ko đúng màu khăn mỏng ko xứng đáng đồng tiền khăn bị lem nàu,NEG
đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền,POS
sản phẩm bị lỗi nhưng shop không có trách nhiệm đổi !,NEG
anh ấy có khả năng làm việc nhóm rất tốt,POS
bạn đó quá tham lam và không chấp nhận kết quả của mình,NEG
cân nhắc !,NEG
phần vai áo quá rộng ko đúng form áo nhưng sửa 1 tí là ok,NEU
cổ ko đc ôm cho lắm,NEG
cô bạn này có tấm lòng rộng lớn và luôn sẵn sàng giúp đỡ người khác,POS
sp hơi bé chất lượng sản phẩm tạm được,NEG
thầy luôn giữ tinh thần công bằng trong tự đánh giá chất lượng dạy học,POS
quần rất cúng bé mặc lằn hết đùi,NEG
tôi không thể tìm thấy gì để đồng cảm với giảng viên này,NEG
shop giao cho em nhầm size,NEG
rất rất hài lòngcảm ơn shop nhé,POS
chương trình học không phù hợp với nhu cầu của thị trường lao động hiện nay,NEG
chương trình đào tạo cho phép tôi có cơ hội tiếp cận với những kiến thức nâng cao và thời sự,POS
tiếc là giao nhầm màu,NEG
thầy tạo ra không khí yên tĩnh phù hợp với việc học tập cần tính tập trung,NEG
các phòng thí nghiệm của trường có các thiết bị tiên tiến và hiện đại giúp tôi tiếp cận với công nghệ mới nhất,POS
xem xong tôi cảm thấy còn u ám hơn :,NEG
bạn của tôi thường xuyên đánh giá tôi một cách ác ý,NEG
thiếu sân chơi,NEG
anhchị đã trở thành một người bạn đồng hành vô cùng quan trọng trong cuộc đời tôi,POS
giảng viên này cứ chỉ toàn phân tích lý thuyết mà không có ví dụ thực tế,NEG
chát lượng tai nghe quá kém shop ahnghe tậm tịt cứ phải chỉnh dây suốt,NEG
